per_idx,per_name,cat_idx,cat_code,cat_desc,cat_indent,dt_idx,dt_code,dt_desc,dt_unit,et_idx,et_code,et_desc,et_unit,geo_idx,geo_code,geo_desc,is_adj,val,serialid
1,2002-01-01,1,XXXX,Total Construction,0,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,59516,1
1,2002-01-01,2,00XX,Residential,0,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,25972,2
1,2002-01-01,3,NRXX,Nonresidential,0,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,33545,3
1,2002-01-01,4,01XX,Lodging,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,989,4
1,2002-01-01,5,02XX,Office,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,3763,5
1,2002-01-01,6,03XX,Commercial,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,4887,6
1,2002-01-01,7,04XX,Health Care,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,2013,7
1,2002-01-01,8,05XX,Educational,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,5125,8
1,2002-01-01,9,06XX,Religious,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,667,9
1,2002-01-01,10,07XX,Public Safety,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,647,10
1,2002-01-01,11,08XX,Amusement and Recreation,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,1328,11
1,2002-01-01,12,09XX,Transportation,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,1729,12
1,2002-01-01,13,10XX,Communication,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,1416,13
1,2002-01-01,14,11XX,Power,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,3402,14
1,2002-01-01,15,12XX,Highway and Street,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,3180,15
1,2002-01-01,16,13XX,Sewage and Waste Disposal,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,1150,16
1,2002-01-01,17,14XX,Water Supply,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,846,17
1,2002-01-01,18,15XX,Conservation and Development,1,1,T,Total Construction,MLN$,0,,,,1,US,U.S. Total,0,271,18
